dataset,fold,target,num_features,Model Name,Model Parameters,Val RMS Model,Val RMS Current,Val RMS Compared,Test RMS Model,Test RMS Current,Test RMS Compared
tmp2022_clean_clf,0,az,2,XGB_ds1_tp0_k2_az,"{'colsample_bytree': 0.7445113424617857, 'learning_rate': 0.012994493283168965, 'max_depth': 5, 'min_child_weight': 10.0, 'n_estimators': 331, 'subsample': 0.806825587599305}",2.5407085829784894,2.7797544234765086,0.9140046910334418,3.022403639493715,2.7225003865068147,1.1101572857338324
tmp2022_clean_clf,0,az,5,XGB_ds1_tp0_k5_az,"{'colsample_bytree': 0.748105601060336, 'learning_rate': 0.04471098636789719, 'max_depth': 4, 'min_child_weight': 4.0, 'n_estimators': 138, 'subsample': 0.6937264545538446}",2.5164076904219064,2.7797544234765086,0.9052625905258038,3.0907584000742143,2.7225003865068147,1.1352646322448843
tmp2022_clean_clf,0,az,10,XGB_ds1_tp0_k10_az,"{'colsample_bytree': 0.5180519954509469, 'learning_rate': 0.03235968738987149, 'max_depth': 5, 'min_child_weight': 5.0, 'n_estimators': 263, 'subsample': 0.9449080766709678}",2.508747215204677,2.7797544234765086,0.902506780461241,3.3332693525403867,2.7225003865068147,1.224341186161313
tmp2022_clean_clf,0,az,20,XGB_ds1_tp0_k20_az,"{'colsample_bytree': 0.7093316521999389, 'learning_rate': 0.022377035782067015, 'max_depth': 4, 'min_child_weight': 9.0, 'n_estimators': 282, 'subsample': 0.644456407643704}",2.507109648313029,2.7797544234765086,0.9019176755828323,3.1866149177462053,2.7225003865068147,1.1704736328191625
tmp2022_clean_clf,0,az,30,XGB_ds1_tp0_k30_az,"{'colsample_bytree': 0.7702659926111751, 'learning_rate': 0.2475424431851066, 'max_depth': 1, 'min_child_weight': 5.0, 'n_estimators': 497, 'subsample': 0.9738999216730275}",2.483805798715265,2.7797544234765086,0.8935342553062242,3.387567306842116,2.7225003865068147,1.2442853355068335
tmp2022_clean_clf,0,az,40,XGB_ds1_tp0_k40_az,"{'colsample_bytree': 0.8451919272654911, 'learning_rate': 0.07036017323885066, 'max_depth': 4, 'min_child_weight': 6.0, 'n_estimators': 154, 'subsample': 0.9103085910021113}",2.5334415926326024,2.7797544234765086,0.9113904347939289,3.551592154042067,2.7225003865068147,1.3045332047129818
tmp2022_clean_clf,0,az,50,XGB_ds1_tp0_k50_az,"{'colsample_bytree': 0.6850740446694126, 'learning_rate': 0.08604486885990602, 'max_depth': 3, 'min_child_weight': 7.0, 'n_estimators': 291, 'subsample': 0.8192960636575075}",2.5190810496729545,2.7797544234765086,0.9062243154999491,3.7742703797500528,2.7225003865068147,1.3863250115430628
tmp2022_clean_clf,0,el,2,XGB_ds1_tp0_k2_el,"{'colsample_bytree': 0.5195125408375981, 'learning_rate': 0.006887880085705816, 'max_depth': 3, 'min_child_weight': 8.0, 'n_estimators': 192, 'subsample': 0.7039224488350992}",2.4464638586090968,2.494918313687136,0.9805787408701047,2.2461584265139187,2.2807967393973203,0.9848130645378972
tmp2022_clean_clf,0,el,5,XGB_ds1_tp0_k5_el,"{'colsample_bytree': 0.5425398667085128, 'learning_rate': 0.008711938884074077, 'max_depth': 5, 'min_child_weight': 1.0, 'n_estimators': 176, 'subsample': 0.5087669488221159}",2.4014835534630654,2.494918313687136,0.9625499721928822,2.237186765160914,2.2807967393973203,0.9808794999207471
tmp2022_clean_clf,0,el,10,XGB_ds1_tp0_k10_el,"{'colsample_bytree': 0.5482886105308831, 'learning_rate': 0.023207645673013266, 'max_depth': 5, 'min_child_weight': 6.0, 'n_estimators': 32, 'subsample': 0.9026959933838745}",2.433913585132054,2.494918313687136,0.9755484064466521,2.2753651567983484,2.2807967393973203,0.9976185591178953
tmp2022_clean_clf,0,el,20,XGB_ds1_tp0_k20_el,"{'colsample_bytree': 0.5349808175904357, 'learning_rate': 0.040643457061856375, 'max_depth': 4, 'min_child_weight': 6.0, 'n_estimators': 66, 'subsample': 0.5826880961106433}",2.4260164618829045,2.494918313687136,0.9723831231562831,2.298797142237882,2.2807967393973203,1.0078921556356302
tmp2022_clean_clf,0,el,30,XGB_ds1_tp0_k30_el,"{'colsample_bytree': 0.9491322129511087, 'learning_rate': 0.2342904614071161, 'max_depth': 1, 'min_child_weight': 6.0, 'n_estimators': 389, 'subsample': 0.6623662087658667}",2.514516662513787,2.494918313687136,1.0078553068127059,2.3909930773837416,2.2807967393973203,1.0483148437048098
tmp2022_clean_clf,0,el,40,XGB_ds1_tp0_k40_el,"{'colsample_bytree': 0.812418858984189, 'learning_rate': 0.14061978062038025, 'max_depth': 1, 'min_child_weight': 9.0, 'n_estimators': 157, 'subsample': 0.7019647066443995}",2.4662442668651328,2.494918313687136,0.9885070197830937,2.1252173228663214,2.2807967393973203,0.9317872505499506
tmp2022_clean_clf,0,el,50,XGB_ds1_tp0_k50_el,"{'colsample_bytree': 0.6036307087642648, 'learning_rate': 0.11095998745170531, 'max_depth': 1, 'min_child_weight': 6.0, 'n_estimators': 353, 'subsample': 0.7324033611211145}",2.4664227752956807,2.494918313687136,0.9885785685907515,2.109338645524568,2.2807967393973203,0.9248253511980825
tmp2022_clean_clf,1,az,2,XGB_ds1_tp1_k2_az,"{'colsample_bytree': 0.5636348469135777, 'learning_rate': 0.017918714424001034, 'max_depth': 1, 'min_child_weight': 9.0, 'n_estimators': 212, 'subsample': 0.5311952268159797}",2.617670030631118,2.6932259852419067,0.9719459284052607,2.9764076648703126,3.2039447167320025,0.928982216617715
